"category","subcategory","img","title","link","price"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/4667/catalog_list_4667.jpg","Фініки 200г Своя лінія сушені","https://www.atbmarket.com/product/finiki-200g-svoa-linia-suseni","41.30"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/2771/catalog_list_2771.jpg","Арахіс 150г Розумний вибір смажений у шкарлупі","https://www.atbmarket.com/product/arahis-150g-rozumnij-vibir-smazenij-u-skarlupi","39.90"
"Fruits and vegetables","nuts","https://src.zakaz.atbmarket.com/cache/photos/2283/catalog_list_2283.jpg","Абрикос сушений 125г Розумний вибір цілий без кісточки","https://www.atbmarket.com/product/abrikos-susenij-125g-rozumnij-vibir-cilij-bez-kistocki","79.70"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/10580/catalog_list_10580.jpg","Суміш салатного листя ""Італійська"", 100 гр","https://www.atbmarket.com/product/sumis-salatnogo-lista-italijska-100-gr","39.90"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/5249/catalog_list_5249.jpg","Салат Айсберг 1 гат","https://www.atbmarket.com/product/salat-ajsberg-1-gat","119.95"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/901/catalog_list_901.png","Вітaмінний пучок 100г (кpіп, пeтpушкa, цибуля зeлeнa) 1 гат","https://www.atbmarket.com/product/vitaminnij-pucok-100g-kpip-petpuska-cibula-zelena-1-gat","40.90"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/897/catalog_list_897.jpg","Кріп 70г шт. 1 гат","https://www.atbmarket.com/product/krip-70g-st-1-gat","30.50"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/60613/catalog_list_60613.png","Петрушка 30 г. шт. 1 гат.","https://www.atbmarket.com/product/petruska-30-g-st-1-gat","11.50"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/4687/catalog_list_4687.jpg","М’ята 50г шт. 1 гат","https://www.atbmarket.com/product/mata-50g-st-1-gat","28.90"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/900/catalog_list_900.jpg","Цибуля зeлeнa 100г шт. 1 гат","https://www.atbmarket.com/product/cibula-zelena-100g-st-1-gat","38.90"
"Fruits and vegetables","greens","https://src.zakaz.atbmarket.com/cache/photos/503/catalog_list_503.jpg","Салат листовий у горщику шт. 1 гат","https://www.atbmarket.com/product/salat-listovij-u-gorsiku-st-1-gat","38.90"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/6890/catalog_list_6890.jpg","Гарбуз Баттернат 1 гат","https://www.atbmarket.com/product/garbuz-batternat-1-gat","13.95"
"Fruits and vegetables","vegetables","https://src.zakaz.atbmarket.com/cache/photos/18573/catalog_list_18573.jpg","Часник імпорт","https://www.atbmarket.com/product/casnik-import-1-gat","124.95"
